name	dates	note	formula	tag	chapter	flag
Hypatia	c. 350 – 415	Philosopher and astronomer in Alexandria. Taught and preserved Greek geometry and edited works on conics.	Apollonius, On Conics	Geometry	../omega/ch-hypatia.html	
Aryabhata	c. 476 – 550	Indian astronomer-mathematician. Gave a refined value of pi and built early sine tables.	pi ~ 3.1416	Number Theory		mistagged
Liu Hui	c. 225 – 295	Commentator on the Nine Chapters on the Mathematical Art. Devised a polygon method for pi.	pi ~ 3.14159	Geometry		
Brahmagupta	c. 598 – 668	Formalized rules for zero and negative numbers; gave general solutions to quadratics.	ax^2 + bx + c = 0	Algebra		
Virahanka	c. 700 – 800	Studied Sanskrit poetic metre; described the recurrence later known as the Fibonacci sequence.	F(n) = F(n-1) + F(n-2)	Number Theory		
Al-Khwarizmi	c. 780 – 850	Father of algebra. Gave systematic methods for solving linear and quadratic equations.	al-jabr	Algebra		
Al-Biruni	973 – 1050	Polymath who measured Earth's radius and advanced trigonometry and geodesy.	sin^2 t + cos^2 t = 1	Applied Mathematics		
Omar Khayyam	1048 – 1131	Solved cubic equations geometrically by intersecting conic sections; reformed the Persian calendar.	x^3 + ax = b	Algebra . Geometry	../omega/ch-khayyam.html	
Bhaskara II	1114 – 1185	Wrote the Lilavati and Bijaganita; the chakravala method solved a hard class of equations.	x^2 - N y^2 = 1	Algebra . Number Theory		
Al-Karaji	c. 953 – c. 1029	Freed algebra from geometric proof; worked on the binomial theorem and arithmetic series.	1+2+3+...+n = n(n+1)/2	Algebra		
Abu'l-Wafa al-Buzjani	940 – 998	Advanced trigonometry and spherical geometry; compiled tangent-function tables.	sin t, cos t, tan t	Trigonometry		
Gangesa Upadhyaya	c. 14th century	Founder of the Navya-Nyaya school; built a rigorous formal theory of inference.	and / or / not	Logic		
Narayana Pandita	c. 14th century	Wrote on magic squares, combinatorics, and algebraic identities.	(a+b)^2 = a^2 + 2ab + b^2	Algebra		filler
Madhava of Sangamagrama	c. 1340 – 1425	Founded the Kerala school; found infinite series for pi and trig functions, anticipating calculus.	pi/4 = 1 - 1/3 + 1/5 - 1/7 ...	Analysis	../omega/ch-madhava.html	
Jamshid al-Kashi	c. 1380 – 1429	Computed pi to sixteen decimal places and advanced decimal fractions and astronomical tables.	pi = 3.1415926535	Number Theory		mistagged
Seki Takakazu	c. 1642 – 1708	Founder of wasan, Japan's native mathematical tradition; pioneered work on determinants.	ax^2 + bx + c = 0	Algebra		filler
Sophie Germain	1776 – 1831	Worked under a male pseudonym; advanced elasticity theory and a special case of Fermat's Last Theorem.	p, 2p+1 both prime	Number Theory	ch-sophie-germain.html	
Alexander Grothendieck	1928 – 2014	Rebuilt algebraic geometry from its foundations with schemes, sheaves, and topos theory.	Spec(R)	Algebra . Geometry	ch-grothendieck.html	status
Shinichi Mochizuki	born 1969	Number theorist working in arithmetic geometry; proposed inter-universal Teichmuller theory toward the ABC conjecture.	c > rad(abc)^(1+e)	Number Theory		status
