page	claim_id	heading	label	status	warrant	reference	context
Enceladus-zenodo.html	Enceladus-zenodo#1		machine-checked	-	kernel	-	thrm{auto}}\)) and stellar nucleosynthesis via the triple-alpha process (\(X_{\mathrm{star}}\)). Both are documented in the companion Chapter A (Zenodo 10.5281/zenodo.20168812), wh
Enceladus-zenodo.html	Enceladus-zenodo#2	3.4 · Unfolding Operator U	established	proved	cited	PrincipiaVol1.lean	nch count (\(N_{\mathrm{fiss}} = 4\text{–}8\)) is consistent with \(A_1\): each fissure is a single ejection branch. \(\square\) This matches the dm³ toy model, where the Whitney \
Enceladus-zenodo.html	Enceladus-zenodo#3	3.4 · Unfolding Operator U	proved	proved	-	PrincipiaVol1.lean	jection branch. \(\square\) This matches the dm³ toy model, where the Whitney \(A_1\) condition is established as: \[V(q) = q^3 - 3q, \qquad V'(q^*) = 0 \text{ at } q^* = 1, \qquad
Enceladus-zenodo.html	Enceladus-zenodo#4	Gronwall Basin Condition and Chemical Survival Record	machine-checked	-	kernel	PrincipiaVol1.lean	ng}}\)), ether compounds do not (\(\tau_{\mathrm{ether}} \lesssim \tau_{\mathrm{ring}}\)). This asymmetry maps precisely onto the Gronwall basin boundary: the Gronwall radius \(\va
Enceladus-zenodo.html	Enceladus-zenodo#5	Gronwall Basin Condition and Chemical Survival Record	proved	proved	-	-	trajectories of the dm³ toy model in the Gronwall basin, \(z(t)\) is monotonically non-decreasing for all \(t > 0\). This is partially open (O3 / AXLE #15): the Gronwall contractio
Enceladus-zenodo.html	Enceladus-zenodo#6	Gronwall Basin Condition and Chemical Survival Record	empirical	-	measured	-	sition of E-ring grains as a function of E-ring dwell time \(\tau_{\mathrm{dwell}}\), then the function \(z(\tau_{\mathrm{dwell}}) \sim -\log([\mathrm{ether}](\tau)/[\mathrm{ether}
Enceladus-zenodo.html	Enceladus-zenodo#7	Entropy Operator and Theorem T1	proved	proved	-	-	sis.ODE.Gronwall as stated in OPEN_QUESTIONS.md (AXLE #15). The value of the physical correspondence is to motivate the formalism and to provide a domain-specific interpretation of
Enceladus-zenodo.html	Enceladus-zenodo#8	Entropy Operator and Theorem T1	empirical	-	measured	-	oved. Section 7 Falsifiability Conditions Principia Orthogona §4 defines four falsifiability conditions (F1–F4). We assess each against the Enceladus system: F1 · Compression — PAS
Enceladus-zenodo.html	Enceladus-zenodo#9	Entropy Operator and Theorem T1	empirical	-	measured	-	ith curvature reaching \(\kappa^*\) prior to ejection. F2 is passed conditionally: a quantitative measurement of pre-fracture shell curvature would tighten this. F3 · Folding — PAS
Enceladus-zenodo.html	Enceladus-zenodo#10	Complete Operator Correspondence Table	conjecture	conjecture	-	-	{z} > 0\)). Observational bound proposed (Proposition 6.1). T1: OPEN (O3) exponent sign ✓ full ODE: open AXLE #15 dm³ Contact 3-manifold; \(N = 3\) minimum dimension for non-trivia
Enceladus-zenodo.html	Enceladus-zenodo#11	Complete Operator Correspondence Table	conjecture	conjecture	-	-	rm{Enc}} = (P, T, \mathbf{x})\) is 5-dimensional but the active generative transition is confined to the contact 3-manifold \((P, w, v_{\perp})\) at the fissure geometry. \(N = 3\)
Enceladus-zenodo.html	Enceladus-zenodo#12	Complete Operator Correspondence Table	conjecture	conjecture	-	-	tact 3-manifold \((P, w, v_{\perp})\) at the fissure geometry. \(N = 3\) minimum confirmed. Conjecture 16.1 ARGUED / O6 open 𝒫 Perelman functor \(\mathcal{P} : \mathbf{dm}^3 \to \m
Enceladus-zenodo.html	Enceladus-zenodo#13	Complete Operator Correspondence Table	speculative	conjecture	none	-	((P, w, v_{\perp})\) at the fissure geometry. \(N = 3\) minimum confirmed. Conjecture 16.1 ARGUED / O6 open 𝒫 Perelman functor \(\mathcal{P} : \mathbf{dm}^3 \to \mathbf{RicciFlow}\
Enceladus-zenodo.html	Enceladus-zenodo#14	Complete Operator Correspondence Table	conjecture	conjecture	-	-	rvature evolution under tidal heating is formally analogous to Ricci flow on the 2-dimensional shell surface, with surgery at the fissure points. Not developed here; noted as a dir
Enceladus-zenodo.html	Enceladus-zenodo#15	Complete Operator Correspondence Table	conjecture	conjecture	-	-	d from Principia Orthogona V3 ○ O1: Eigenvalue API gap ( separation_theorem ) — AXLE #12 ○ O3: Full ODE Gronwall for T1 — AXLE #15 (physical argument in §6 above) ○ O5: Perelman fu
Enceladus-zenodo.html	Enceladus-zenodo#16	Complete Operator Correspondence Table	conjecture	conjecture	-	-	p ( separation_theorem ) — AXLE #12 ○ O3: Full ODE Gronwall for T1 — AXLE #15 (physical argument in §6 above) ○ O5: Perelman functor construction (Conjecture 15.1) ○ O6: Discrete t
Enceladus-zenodo.html	Enceladus-zenodo#17	Kalpataru: Life as Generated, Not Originated	empirical	-	measured	-	contact threshold — as surely as water freezes when temperature crosses 273 K, regardless of the history of the particular water molecule. Kaçar's molecular paleobiology programme 
Enceladus-zenodo.html	Enceladus-zenodo#18	Kalpataru: Life as Generated, Not Originated	empirical	-	measured	-	runs. Whether we choose to call its output "life" is a definitional question; whether the operator sequence that generates life on Earth is operating in the Enceladus subsurface is
Enceladus-zenodo.html	Enceladus-zenodo#19	References	measured	-	measured	-	r et al., "A salt-water reservoir as the source of a compositionally stratified plume on Enceladus," Nature 474 , 620–622 (2011). [10] P. C. Thomas, R. Tajeddine, M. S. Tiscareno e
Enceladus.html	Enceladus#1		machine-checked	-	kernel	-	thrm{auto}}\)) and stellar nucleosynthesis via the triple-alpha process (\(X_{\mathrm{star}}\)). Both are documented in the companion Chapter A (Zenodo 10.5281/zenodo.20168812), wh
Enceladus.html	Enceladus#2	Generative Transitions in Cryovolcanic Systems:A Principia Orthogona A	proved	proved	-	-	t after bounding by the shell geometry), satisfying Assumption 2.1. C → K → F → U → E → C′ → ··· The five operators are defined in Principia Orthogona Vol. I, §3 (Definitions 3.1–3
Enceladus.html	Enceladus#3	3.3 · Fold Operator F	established	proved	cited	PrincipiaVol1.lean	nch count (\(N_{\mathrm{fiss}} = 4\text{–}8\)) is consistent with \(A_1\): each fissure is a single ejection branch. \(\square\) This matches the dm³ toy model, where the Whitney \
Enceladus.html	Enceladus#4	3.4 · Unfolding Operator U	proved	proved	-	PrincipiaVol1.lean	jection branch. \(\square\) This matches the dm³ toy model, where the Whitney \(A_1\) condition is established as: \[V(q) = q^3 - 3q, \qquad V'(q^*) = 0 \text{ at } q^* = 1, \qquad
