page	bucket	label	sentence
ch-e-gtct.html	unclassified	kernel-audited	All were closed in the AXLE registry, which on its 15 August 2026 recount holds 1,165 formalized entries, 1,004 sorry-free in source and 61 kernel-audited — 31 re-run by CI.
ch15-complex-turn.html	unclassified	machine-checked	The result was closed in WP-02 · Alterna ( 10.5281/zenodo.20710023 , 16 June 2026): a twelve-line machine-checked Lean 4 proof that any alternating \(m\)-linear map on a rank-\(n\) module vanishes when \(m &gt;
chIV-preface.html	about-others	machine-verified	The logical dependency chain is strict: Ch 1 Axioms → Ch 2 Dimensional Field → Ch 3 Operators → Ch 4 Correspondence → Ch 5 Orthogonality [v2] → Ch 6 Recursion [v2] → Ch 7 Emergence [v2] + Ch 8 The Nature of Time (concept
cm-choreography.html	disclaimed	formalized in mathlib	Its existence proof requires mathematical infrastructure that has not yet been formalized in Mathlib.
contribute.html	unclassified	kernel-audited	Status: 1,165 formalized · 1,004 sorry-free in source · 61 kernel-audited — 31 re-run by CI (geometry), 30 registry-only (AXLE has no CI) LEAN4 MATHLIB4 Setup: `git clone https://github.com/TOTOGT/GTCT` + install Lean 4 
course-dm3-102.html	disclaimed	kernel-audited	It is not: the registry reports 284 core proved, 148 kernel-audited, 1244 on the full recursive scan, and the programme is named for 1080.
for-ichep.html	unclassified	machine-checked	Do the stability estimates used there suffer the same symmetry defect — a bound that is provably blunt because it cannot see the sign structure of the coupling? Verified numerics · Lean 4 Thiago TOMEI (IFT-UNESP, Brazil)
g6_llc_nasa_press_statement.html	about-others	kernel-audited	Key facts Formalized / kernel-audited 1,165 / 30 Zenodo deposits 21 Axioms beyond Mathlib4 0 SAM.gov UEI CHGKT9317LY3 The full framework is published open-access across the Principia Orthogona series on Zenodo and SSRN, 
nj-innovation-portfolio.html	unclassified	machine-checked	verification technology Machine-checked proof (Lean&nbsp;4 / AXLE) I maintain AXLE, a formal-verification environment where mathematical claims are checked by a proof kernel rather than asserted.
nj-innovation-portfolio.html	unclassified	machine-checked	with 18 machine-checked Lean&nbsp;4 theorems 10.5281/zenodo.20221723 2026 Published Nested Infinities in the Language Classroom &mdash;
template-ebook-multilingual.html	unclassified	machine-verified	Principia Orthogona · Vol I–IV · 40-Language Web Paper Principia Orthogona · G = U ∘ F ∘ K ∘ C · Vol I–IV DOI 10.5281/zenodo.19117399 ↗ ✓ AXLE v6.1 LANG Latin Web Paper · Case 1 · Principia Orthogona · G6 LLC · 2026 The 
template-ebook-multilingual.html	unclassified	machine-checked	All verified constants are machine-checked in Lean 4 via AXLE v6.1.
book7/ch-chomsky.html	unclassified	machine-checked	In the machine-checked half of this series, a theorem is a term in a language, and the kernel that accepts it is a typechecker.
book7/ch-erdos.html	unclassified	kernel-checked	Forward · Vol V What became of his problems when the collaborator turned machine — the human-checked construction versus the kernel-checked Lean proof, and why the difference is the whole point — is taken up in The Machi
book1/index.html	listing	kernel-audited	the live figures, and the distinction between a statement written, a proof sorry -free in source, and a proof individually kernel-audited, are in the theorem registry.
book6/ch-drifts-nutrition-fingerprint.html	about-others	machine-checked	It is the empirical counterpart to the proof kernel: an instrument that reports composition is to industrial nutrition what a machine-checked axiom list is to a theorem.
book6/ch-immune-maintenance.html	unclassified	machine-checked	MACHINE-CHECKED the narrow mathematical facts verified in Lean 4 (AXLE).
book6/ch-immune-maintenance.html	unclassified	machine-checked	\] MACHINE-CHECKED The one verified mathematical fact The post-fold Lyapunov stability, \(\mu = -2\), is established by machine proof in Lean 4 (AXLE repository, reported 0 sorry).
book6/ch-interstitium-hydrated-lattice.html	about-others	formalized in lean	A proof of Fel's conjecture on syzygies of numerical semigroups, deposited in February 2026, states that the argument "is fully formalized in Lean/Mathlib, and was produced automatically by AxiomProver from a natural-lan
book6/ch-interstitium-hydrated-lattice.html	conditional	machine-checked	Once a theorem carries a machine-checked, axiom-transparent proof, the unformalized version cannot be treated as equally warranted — much as, once the interstitium's fluid and mechanically active character had been seen,
book6/ch-interstitium-hydrated-lattice.html	unclassified	machine-checked	Trace each published "machine-checked" to a gate file naming that declaration, in that copy, on that date.
book6/ch01-complex-turn.html	disclaimed	machine-verified	Do not take Theorem 1 as machine-verified.
book6/ch03-explicit-Ai-matrices.html	unclassified	machine-checked	The computation is machine-checked in AXLE at Vol6.E8.Serre .
book6/ch03-explicit-Ai-matrices.html	own-claim	machine-verified	Corollary · Mathematical Core closed Book VI Part I complete Part I of Book VI is machine-verified The three theorems of the Mathematical Core — the emergence of $\mathbb{C}$ from the commutator (Ch 01 Theorem 2), the E₈
book6/ch03-explicit-Ai-matrices.html	unclassified	machine-verified	That chapter — the philosophical hinge between the mathematical core and the twelve bio-domain proofs of Part III — will make explicit what has been operating implicitly since Ch 01: that the difference between an inform
book6/ch07-microtubule-fibonacci.html	unclassified	machine-checked	it is formally proved, machine-checked, in Mathlib4 &mdash;
book6/on-publication.html	own-claim	machine-verified	§ 3 — Cross-domain synthesis This work spans contact geometry, k-nacci sequences and their Hausdorff scaling, multifractal spectra of biological scaffolds, laminin structural biology, therapeutic corridor mapping, and ma
book6/on-publication.html	unclassified	kernel-checked	That distinction is the standard: kernel-checked, sorry-free, and non-vacuous are three separate claims, and each paper says which of the three it is making.
book6/wp108-one-lemma-from-hilbert.html	disclaimed	machine-checked	no machine-checked content Toru&#324;czyk&rsquo;s characterisation is not in Mathlib Let &#120132;
book6/wp108-one-lemma-from-hilbert.html	disclaimed	machine-checked	Status Nothing in this note is machine-checked and nothing in it should be cited as verified.
book6/wp28-circadian-trader-audit.html	unclassified	machine-checked	it's to either cite the source (a paper, a backtest, a named strategy) or remove it from a table that otherwise mixes in machine-checked theorems, since the table's own formatting currently implies all five rows carry th
book6/wp56-algorithmic-urgency.html	unclassified	machine-checked	This connects to a broader program of mine on verifiable, auditable AI — machine-checked guarantees about what a decision actually depended on — as a governance instrument rather than a compliance afterthought.
book6/wp62-three-open-paths.html	disclaimed	machine-checked	No claim on this page is machine-checked in Lean;
book6/wp79-the-ratio-and-the-scale.html	unclassified	kernel-checked	Yes , in principle ε₀ = 1/3 ⟺ H = 2 Ratio, and now kernel-checked.
book6/wp81-the-conviction-and-the-kernel.html	unclassified	kernel-checked	A Reeb-orbit result, cited as kernel-checked in a verification table reeb_orbit_is_integral : 1 = 1 .
book8/ch-the-threshold.html	unclassified	machine-checked	G = U ∘ F ∘ K ∘ C on a contact 3-manifold, machine-checked in Lean 4, proved without sorry in its core chain.
book8/ch13-holology.html	unclassified	machine-checked	AXLE · Lean 4 formal verification The machine-checked proof environment.
omega/ch-accounting.html	unclassified	machine-checked	That is a theorem, it is machine-checked, and it is a statement about operators rather than about the atmosphere.
omega/ch-mercy.html	unclassified	machine-checked	The distinction matters more here than anywhere else in this book, because a machine-checked proof is exactly the kind of claim a reader cannot verify by reading.
omega/ch-the-wave-that-stays.html	unclassified	machine-checked	The Principia Orthogona formalisation includes a file about a six-site ring with D 6 symmetry: five theorems, machine-checked, establishing which operations on such a ring commute, that the coupling term does not, that a
omega/ch-vilomah.html	unclassified	machine-checked	What Order Means Here This series proved, in several domains and with machine-checked proofs, that the two operators at the centre of the dm&sup3;
omega/ch-what-the-wax-knows.html	unclassified	machine-checked	Those statements are machine-checked, and they are the reason a hexagonal structure distributes a shock the way it does.
_archive/vol1-mathematics-REMOTE.html	about-others	machine-checked	Theorems A–D are machine-checked in Lean 4 with zero axioms beyond Mathlib4.
_archive/vol1-mathematics-REMOTE.html	about-others	machine-checked	Formal proof requires a definition of contact-geometric structure for discrete dynamical systems on \(\mathbb{Z}\) and a proof that the dm³ axioms have no discrete analogue for \(c 17 Formal Status and Open Obligations M
book4/chIV-preface.html	about-others	machine-verified	The logical dependency chain is strict: Ch 1 Axioms → Ch 2 Dimensional Field → Ch 3 Operators → Ch 4 Correspondence → Ch 5 Orthogonality [v2] → Ch 6 Recursion [v2] → Ch 7 Emergence [v2] + Ch 8 The Nature of Time (concept
