# Pages a volume index does not reach. R9's shape — declared, or it is a
# finding — but a declaration here is NOT an exemption. Most of these are
# unfinished chapters, and an unfinished chapter is work, not noise: it gets
# finished, tagged, and linked from its volume index.
#
# tools/chapter_links.py reads this file and sorts the three cases:
#   unfinished  — a chapter being written. REPORTED as backlog, every run,
#                 until it is finished and linked. This is the to-do list.
#   working     — a working page that is not a chapter and never will be.
#                 Suppressed.
#   instrument  — output of a tool, lives beside its producer. Suppressed.
#   redirect    — a stub whose only job is a meta refresh. Suppressed.
#   duplicate   — two versions of the same page exist and the index links the
#                 other one. Reported: R9 says a duplicate is declared or it is
#                 a finding, and which copy is canonical is an editorial call.
# Anything not listed here is an undeclared orphan and fails the gate.
#
# The script also reports a declaration whose page IS now linked, so the file
# cannot rot: two entries were wrong within a minute of being written.
#
path	status	note	declared
book4/chIV-preface.html	duplicate	root copy exists and contents.html links THAT one; book4 5472 w vs root 2588 w — the longer text is the unlinked one	2026-09-20
book4/chIV-preface-impa.html	unfinished	IMPA-edition preface, PT	2026-09-20
book4/chIV-axioms.html	duplicate	root copy exists; book4 2428 w vs root 4506 w. A dedupe pass on 2026-09-17 already moved a book4__chIV-axioms.html to _to_delete/	2026-09-20
book4/chIV-15.html	unfinished	Cap IV-15, a virada complexa, PT	2026-09-20
book4/chE-gtct.html	duplicate	contents.html links ../chE-gtct.html; book4 3378 w vs root 4488 w	2026-09-20
book4/ch-modular-equations-and-pi.html	unfinished	draft	2026-09-20
book4/rh-paper.html	unfinished	RH as non-integrability; TODO markers	2026-09-20
book6/wp125-what-was-not-checked.html	unfinished	needs finishing, tagging, linking	2026-09-20
book7/wp56-special-relativity.html	unfinished	needs finishing, tagging, linking	2026-09-20
book7/wp57-causal-integration.html	unfinished	needs finishing, tagging, linking	2026-09-20
book7/Polylaminin.html	unfinished	needs finishing, tagging, linking	2026-09-20
book7/chcurie.html	redirect	meta refresh to ch-curie.html; title says "movido para". Not a chapter, 154 words	2026-09-20
book7/ulam-dual.html	unfinished	needs finishing, tagging, linking	2026-09-20
book7/tutor-card-ada.html	working	tutor card, not a chapter	2026-09-20
book7/tutor-card-curie.html	working	tutor card, not a chapter	2026-09-20
book7/tutor-card-dirac.html	working	tutor card, not a chapter	2026-09-20
book7/jacobian-verification.html	instrument	verification output	2026-09-20
